FECHA,TIMESTAMP,TIPO_VIAJERO,PUNTO_TURISTICO,RESIDENCIA,VIAJEROS,PERNOCTACIONES
2011-03-01,1298934000000,Nacional,Vitoria-Gastéiz,Residentes en España,14720,27017
2011-04-01,1301608800000,Nacional,Vitoria-Gastéiz,Residentes en España,17802,31811
2011-05-01,1304200800000,Nacional,Vitoria-Gastéiz,Residentes en España,15321,29070
2011-06-01,1306879200000,Nacional,Vitoria-Gastéiz,Residentes en España,16403,32812
2011-07-01,1309471200000,Nacional,Vitoria-Gastéiz,Residentes en España,20462,39166
2011-08-01,1312149600000,Nacional,Vitoria-Gastéiz,Residentes en España,21016,47359
2011-09-01,1314828000000,Nacional,Vitoria-Gastéiz,Residentes en España,17926,37288
2011-10-01,1317420000000,Nacional,Vitoria-Gastéiz,Residentes en España,18482,35557
2011-11-01,1320102000000,Nacional,Vitoria-Gastéiz,Residentes en España,15119,27432
2011-12-01,1322694000000,Nacional,Vitoria-Gastéiz,Residentes en España,14142,27519
2012-01-01,1325372400000,Nacional,Vitoria-Gastéiz,Residentes en España,11751,22425
2012-02-01,1328050800000,Nacional,Vitoria-Gastéiz,Residentes en España,14053,26418
2012-03-01,1330556400000,Nacional,Vitoria-Gastéiz,Residentes en España,16901,31399
2012-04-01,1333231200000,Nacional,Vitoria-Gastéiz,Residentes en España,17614,35372
2012-05-01,1335823200000,Nacional,Vitoria-Gastéiz,Residentes en España,16382,32451
2012-06-01,1338501600000,Nacional,Vitoria-Gastéiz,Residentes en España,16866,32601
2012-07-01,1341093600000,Nacional,Vitoria-Gastéiz,Residentes en España,18865,37017
2012-08-01,1343772000000,Nacional,Vitoria-Gastéiz,Residentes en España,19853,46643
2012-09-01,1346450400000,Nacional,Vitoria-Gastéiz,Residentes en España,14998,30453
2012-10-01,1349042400000,Nacional,Vitoria-Gastéiz,Residentes en España,15512,30357
2012-11-01,1351724400000,Nacional,Vitoria-Gastéiz,Residentes en España,13876,25892
2012-12-01,1354316400000,Nacional,Vitoria-Gastéiz,Residentes en España,12962,23506
2013-01-01,1356994800000,Nacional,Vitoria-Gastéiz,Residentes en España,9671,19288
2013-02-01,1359673200000,Nacional,Vitoria-Gastéiz,Residentes en España,10883,24405
2013-03-01,1362092400000,Nacional,Vitoria-Gastéiz,Residentes en España,14286,28081
2013-04-01,1364767200000,Nacional,Vitoria-Gastéiz,Residentes en España,11413,22894
2013-05-01,1367359200000,Nacional,Vitoria-Gastéiz,Residentes en España,13561,25452
2013-06-01,1370037600000,Nacional,Vitoria-Gastéiz,Residentes en España,13537,26207
2013-07-01,1372629600000,Nacional,Vitoria-Gastéiz,Residentes en España,17272,35918
2013-08-01,1375308000000,Nacional,Vitoria-Gastéiz,Residentes en España,17644,40075
